title,url,category,description,datetime,title_len
Кличко відкрив у Києві виставку до Дня Європи та подякував партнерам за підтримку України,https://www.rbc.ua/rus/news/klichko-vidkriv-kievi-vistavku-dnya-evropi-1778251531.html,,,17:45,89
У низці областей України оголосили штормове попередження на сьогодні (карта),https://www.rbc.ua/rus/news/niztsi-oblastey-ukrayini-ogolosili-shtormove-1778251065.html,,,17:38,76
"У Зеленського вперше відреагували на зливи ""плівок Міндіча"" у ЗМІ",https://www.rbc.ua/rus/news/zelenskogo-vpershe-vidreaguvali-zlivi-plivok-1778249746.html,,,17:17,65
Умєров розкрив деталі своєї зустрічі з Віткоффом та Кушнером в США,https://www.rbc.ua/rus/news/umerov-rozkriv-detali-svoeyi-zustrichi-vitkoffom-1778249733.html,,,17:17,66
Захисник Маріуполя після полону і втрати зору допомагає ветеранам: історія Кирила Тюрнєва,https://www.rbc.ua/rus/news/zahisnik-mariupolya-pislya-polonu-i-vtrati-1778249101.html,,,17:05,89
"Червона площа під прицілом? ""Мадяр"" розповів, куди може вдарити Україна",https://www.rbc.ua/rus/news/chervona-ploshcha-pid-pritsilom-madyar-rozpoviv-1778248404.html,,,17:05,71
"Зеленський про ""перемир'я"" 9 травня: завтра залежить від того, що ми почуємо сьогодні",https://www.rbc.ua/rus/news/zelenskiy-peremir-ya-9-travnya-zavtra-zalezhit-1778248227.html,,,16:50,85
Долар і євро подорожчали: курс валют на 11 травня і чому паніки на ринку немає,https://www.rbc.ua/rus/news/dolar-i-evro-podorozhchali-kurs-valyut-11-1778248043.html,,,16:48,78
Вагони виготовляли з порушеннями: стало відомо про схему використання неякісного заліза,https://www.rbc.ua/rus/news/vagoni-vigotovlyali-porushennyami-stalo-vidomo-1778247936.html,,,16:45,87
"Угорщина вислала ""крота"" РФ з оточення Орбана, - ЗМІ",https://www.rbc.ua/rus/news/ugorshchina-vislala-krota-rf-otochennya-orbana-1778246561.html,,,16:32,52
"Шантаж держави підприємствами ТКЕ з багатомільйонними боргами за газ неприпустимий, - експерт",https://www.rbc.ua/rus/news/bagatomilyonni-borgi-tke-gaz-mozhut-buti-1778243496.html,,,16:31,93
В Україні зафіксували перший травневий землетрус: де був епіцентр (карта),https://www.rbc.ua/rus/news/ukrayini-zafiksuvali-pershiy-travneviy-zemletrus-1778246832.html,,,16:30,73
"""Мадяр"" вважає бліцкриг РФ на Київ неможливим: навіть із мільйоном танків",https://www.rbc.ua/rus/news/madyar-vvazhae-blitskrig-rf-kiyiv-nemozhlivim-1778245976.html,,,16:12,73
"Екоподаток без екології? Аналіз ЗМІ показав, куди спрямовують мільярди гривень",https://www.rbc.ua/rus/news/ekopodatok-ekologiyi-analiz-zmi-pokazav-kudi-1778245771.html,,,16:09,78
"США ""не хочуть витрачати час"" на безрезультатні зусилля щодо миру в Україні, - Рубіо",https://www.rbc.ua/rus/news/rubio-zrobiv-zayavu-shchodo-poserednitstva-1778244610.html,,,15:58,84
Зарплати українців зростуть: Нацбанк дав обнадійливий прогноз на 2026 рік,https://www.rbc.ua/rus/news/zarplati-ukrayintsiv-zrostut-natsbank-dav-1778244046.html,,,15:50,73
"У Зеленського розповіли, який сигнал Фіцо повіз Путіну",https://www.rbc.ua/rus/news/zelenskogo-rozpovili-kiy-signal-fitso-poviz-1778244206.html,,,15:49,54
"Закликав підтримувати Україну ""не лише словами"": Володимир Кличко виступив на заході в Гамбурзі",https://www.rbc.ua/rus/news/zaklikav-pidtrimuvati-ukrayinu-ne-lishe-slovami-1778244020.html,,,15:40,95
СБУ підтвердила третю атаку на НПЗ у Пермі: що відомо про наслідки,https://www.rbc.ua/rus/news/sbu-pidtverdila-tretyu-ataku-npz-permi-shcho-1778243013.html,,,15:33,66
"Зеленський відвідав фронт на півдні, де ЗСУ провели успішний контрнаступ",https://www.rbc.ua/rus/news/zelenskiy-vidvidav-front-pivdni-de-zsu-proveli-1778242112.html,,,15:18,72
Дрони над Латвією та Фінляндією: МЗС вказало на важливу деталь і зробило пропозицію,https://www.rbc.ua/rus/news/droni-latvieyu-ta-finlyandieyu-mzs-vkazalo-1778242198.html,,,15:11,83
"У Путіна заявили про готовність до діалогу з Європою, але є нюанс",https://www.rbc.ua/rus/news/putina-zayavili-gotovnist-dialogu-evropoyu-1778240306.html,,,14:44,65
Мединський отримав вирок за антиукраїнський підручник,https://www.rbc.ua/rus/news/medinskiy-otrimav-virok-antiukrayinskiy-pidruchnik-1778238819.html,,,14:29,53
Сі Цзіньпін проігнорує Путіна: хто представлятиме Китай на параді 9 травня,https://www.rbc.ua/rus/news/si-tszinpina-hto-vid-kitayu-priyde-parad-1778239585.html,,,14:27,74
Зеленський і Буданов провели важливу нараду щодо підготовки до зими,https://www.rbc.ua/rus/news/zelenskiy-i-budanov-proveli-vazhlivu-naradu-1778238667.html,,,14:11,67
"Під атаку в Грозному могла потрапити одна з найбільших військових баз РФ і район ФСБ, - медіа",https://www.rbc.ua/rus/news/pid-ataku-groznomu-mogla-potrapiti-odna-naybilshih-1778238270.html,,,14:08,93
Економіка України у 2026 році зростатиме повільніше: НБУ оновив прогноз,https://www.rbc.ua/rus/news/ekonomika-ukrayini-2026-rotsi-zrostatime-1778238117.html,,,14:05,71
Зеленський назвав можливі терміни візиту представників Трампа до Києва,https://www.rbc.ua/rus/news/zelenskiy-nazvav-dedlayn-vizitu-predstavnikiv-1778237472.html,,,13:57,70
"Армія України увійшла до четвірки найсильніших у Європі, - МЗС Фінляндії",https://www.rbc.ua/rus/news/armiya-ukrayini-uviyshla-chetvirki-naysilnishih-1778235976.html,,,13:55,72
Величезна лісова пожежа на прикордонні Чернігівщини повернула в бік РФ,https://www.rbc.ua/rus/news/velichezna-lisova-pozhezha-prikordonni-chernigivshchini-1778235828.html,,,13:40,70
"Українські дрони вперше збили ""Гербери"" з FPV на борту (відео)",https://www.rbc.ua/rus/news/ukrayinski-droni-vpershe-zbili-gerberi-fpv-1778235910.html,,,13:27,62
"Загострення між США та Іраном знову ""підняло"" ціни на нафту",https://www.rbc.ua/rus/news/zagostrennya-mizh-ssha-ta-iranom-znovu-pidnyalo-1778235092.html,,,13:18,59
"Вибух авто у Дніпрі був терактом, виконавців затримали ""по гарячих слідах""",https://www.rbc.ua/rus/news/vibuh-avto-dnipri-buv-teraktom-vikonavtsiv-1778233946.html,,,12:59,74
"Невідомий робив мільярдні ставки на нафту перед заявами Трампа, - Reuters",https://www.rbc.ua/rus/news/nevidomiy-robiv-milyardni-stavki-naftu-pered-1778233076.html,,,12:44,73
13 аеропортів на півдні РФ зупинено через атаку дрона,https://www.rbc.ua/rus/news/13-aeroportiv-pivdni-rf-zupineno-cherez-ataku-1778232270.html,,,12:29,53
Іноземним ЗМІ заборонили висвітлювати парад у Москві,https://www.rbc.ua/rus/news/inozemnim-zmi-zaboronili-visvitlyuvati-parad-1778232027.html,,,12:22,52
"РФ терміново розгортає ще 4 полки та 162 батареї для протидії українським дронам, - Сирський",https://www.rbc.ua/rus/news/rf-terminovo-rozgortae-shche-4-polki-ta-162-1778230067.html,,,12:00,92
"Глобальне ставлення до США стало гіршим, ніж до Росії, - опитування",https://www.rbc.ua/rus/news/globalne-stavlennya-ssha-stalo-girshim-nizh-1778229395.html,,,11:51,67
Поліція хоче контролювати обіг дронів: голова Нацполу назвав причину,https://www.rbc.ua/rus/news/droni-pochali-vikoristovuvati-vchinennya-1778229687.html,,,11:47,68
"""Азов"" заявив, що ""повертається"" до Маріуполя: що це означає (відео)",https://www.rbc.ua/rus/news/azov-zayaviv-shcho-povertaetsya-mariupolya-1778229095.html,,,11:32,68
"Україну на вихідних ""накриють"" дощі та грози, але не без винятків (карта)",https://www.rbc.ua/rus/news/ukrayinu-vihidnih-nakriyut-doshchi-ta-grozi-1778227105.html,,,11:06,73
"Десятки пасажирів круїзного лайнера роз'їхалися по світу ще до виявлення хантавірусу, - AP",https://www.rbc.ua/rus/news/desyatki-pasazhiriv-kruyiznogo-laynera-roz-1778226427.html,,,11:00,90
Трамп уперше прокоментував ситуацію з хантавірусом,https://www.rbc.ua/rus/news/tramp-upershe-prokomentuvav-situatsiyu-hantavirusom-1778225380.html,,,10:47,50
Ціни на АЗС пішли вниз: скільки коштує літр бензину та дизелю 8 травня,https://www.rbc.ua/rus/news/tsini-azs-pishli-vniz-skilki-koshtue-litr-1778225775.html,,,10:36,70
Трамп доручив передати Папі Римському важливе послання (відео),https://www.rbc.ua/rus/news/tramp-doruchiv-peredati-papi-rimskomu-vazhlive-1778225012.html,,,10:24,62
