Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Ukraine,UKR,2004,Income share held by highest 10%,SI.DST.10TH.10,23.1
Ukraine,UKR,2003,Income share held by highest 10%,SI.DST.10TH.10,23.3
Ukraine,UKR,2002,Income share held by highest 10%,SI.DST.10TH.10,23.2
Ukraine,UKR,1999,Income share held by highest 10%,SI.DST.10TH.10,23.1
Ukraine,UKR,1996,Income share held by highest 10%,SI.DST.10TH.10,27.5
Ukraine,UKR,1995,Income share held by highest 10%,SI.DST.10TH.10,30.5
Ukraine,UKR,1993,Income share held by highest 10%,SI.DST.10TH.10,23.2
Ukraine,UKR,1992,Income share held by highest 10%,SI.DST.10TH.10,22.8
Ukraine,UKR,2020,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,5.1
Ukraine,UKR,2019,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,6.1
Ukraine,UKR,2018,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,5
Ukraine,UKR,2017,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,5.9
Ukraine,UKR,2016,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,5.3
Ukraine,UKR,2015,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,5
Ukraine,UKR,2014,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,4.2
Ukraine,UKR,2013,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,4.6
Ukraine,UKR,2012,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,4.2
Ukraine,UKR,2011,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,4.6
Ukraine,UKR,2010,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,4.4
Ukraine,UKR,2009,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,5.1
Ukraine,UKR,2008,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,6
Ukraine,UKR,2007,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,6.3
Ukraine,UKR,2006,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,7.8
Ukraine,UKR,2005,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,8
Ukraine,UKR,2004,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,8.5
Ukraine,UKR,2003,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,6.8
Ukraine,UKR,2002,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,7.7
Ukraine,UKR,1999,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,9.2
Ukraine,UKR,1996,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,12.3
Ukraine,UKR,1995,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,16.1
Ukraine,UKR,1993,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,7.7
Ukraine,UKR,1992,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,11.5
Ukraine,UKR,2020,Income share held by lowest 10%,SI.DST.FRST.10,4.3
Ukraine,UKR,2019,Income share held by lowest 10%,SI.DST.FRST.10,4.1
Ukraine,UKR,2018,Income share held by lowest 10%,SI.DST.FRST.10,4.3
Ukraine,UKR,2017,Income share held by lowest 10%,SI.DST.FRST.10,4.2
Ukraine,UKR,2016,Income share held by lowest 10%,SI.DST.FRST.10,4.3
Ukraine,UKR,2015,Income share held by lowest 10%,SI.DST.FRST.10,4.2
Ukraine,UKR,2014,Income share held by lowest 10%,SI.DST.FRST.10,4.5
Ukraine,UKR,2013,Income share held by lowest 10%,SI.DST.FRST.10,4.4
Ukraine,UKR,2012,Income share held by lowest 10%,SI.DST.FRST.10,4.4
Ukraine,UKR,2011,Income share held by lowest 10%,SI.DST.FRST.10,4.4
Ukraine,UKR,2010,Income share held by lowest 10%,SI.DST.FRST.10,4.4
Ukraine,UKR,2009,Income share held by lowest 10%,SI.DST.FRST.10,4.3
Ukraine,UKR,2008,Income share held by lowest 10%,SI.DST.FRST.10,4.1
Ukraine,UKR,2007,Income share held by lowest 10%,SI.DST.FRST.10,4
Ukraine,UKR,2006,Income share held by lowest 10%,SI.DST.FRST.10,3.7
Ukraine,UKR,2005,Income share held by lowest 10%,SI.DST.FRST.10,3.7
Ukraine,UKR,2004,Income share held by lowest 10%,SI.DST.FRST.10,3.6
Ukraine,UKR,2003,Income share held by lowest 10%,SI.DST.FRST.10,3.8
Ukraine,UKR,2002,Income share held by lowest 10%,SI.DST.FRST.10,3.6
Ukraine,UKR,1999,Income share held by lowest 10%,SI.DST.FRST.10,3.7
Ukraine,UKR,1996,Income share held by lowest 10%,SI.DST.FRST.10,2.8
Ukraine,UKR,1995,Income share held by lowest 10%,SI.DST.FRST.10,2.5
Ukraine,UKR,1993,Income share held by lowest 10%,SI.DST.FRST.10,3.6
Ukraine,UKR,1992,Income share held by lowest 10%,SI.DST.FRST.10,3.1
Ukraine,UKR,2020,Income share held by lowest 20%,SI.DST.FRST.20,10
Ukraine,UKR,2019,Income share held by lowest 20%,SI.DST.FRST.20,9.7
Ukraine,UKR,2018,Income share held by lowest 20%,SI.DST.FRST.20,9.9
Ukraine,UKR,2017,Income share held by lowest 20%,SI.DST.FRST.20,9.8
Ukraine,UKR,2016,Income share held by lowest 20%,SI.DST.FRST.20,10.1
Ukraine,UKR,2015,Income share held by lowest 20%,SI.DST.FRST.20,10
Ukraine,UKR,2014,Income share held by lowest 20%,SI.DST.FRST.20,10.5
Ukraine,UKR,2013,Income share held by lowest 20%,SI.DST.FRST.20,10.3
Ukraine,UKR,2012,Income share held by lowest 20%,SI.DST.FRST.20,10.2
Ukraine,UKR,2011,Income share held by lowest 20%,SI.DST.FRST.20,10.2
Ukraine,UKR,2010,Income share held by lowest 20%,SI.DST.FRST.20,10.2
Ukraine,UKR,2009,Income share held by lowest 20%,SI.DST.FRST.20,10
Ukraine,UKR,2008,Income share held by lowest 20%,SI.DST.FRST.20,9.6
Ukraine,UKR,2007,Income share held by lowest 20%,SI.DST.FRST.20,9.5
Ukraine,UKR,2006,Income share held by lowest 20%,SI.DST.FRST.20,8.8
Ukraine,UKR,2005,Income share held by lowest 20%,SI.DST.FRST.20,8.8
Ukraine,UKR,2004,Income share held by lowest 20%,SI.DST.FRST.20,8.8
Ukraine,UKR,2003,Income share held by lowest 20%,SI.DST.FRST.20,9.1
Ukraine,UKR,2002,Income share held by lowest 20%,SI.DST.FRST.20,8.8
Ukraine,UKR,1999,Income share held by lowest 20%,SI.DST.FRST.20,8.8
Ukraine,UKR,1996,Income share held by lowest 20%,SI.DST.FRST.20,7.1
Ukraine,UKR,1995,Income share held by lowest 20%,SI.DST.FRST.20,6.2
Ukraine,UKR,1993,Income share held by lowest 20%,SI.DST.FRST.20,8.8
Ukraine,UKR,1992,Income share held by lowest 20%,SI.DST.FRST.20,8
Ukraine,UKR,2020,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,0
Ukraine,UKR,2019,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,0.2
Ukraine,UKR,2018,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,0.2
Ukraine,UKR,2017,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,0.1
Ukraine,UKR,2016,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,0.2
Ukraine,UKR,2015,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,0.3
Ukraine,UKR,2014,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,0
Ukraine,UKR,2013,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,0.1
Ukraine,UKR,2012,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,0.1
Ukraine,UKR,2011,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,0.1
Ukraine,UKR,2010,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,0.1
Ukraine,UKR,2009,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,0.3
Ukraine,UKR,2008,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,0.1
Ukraine,UKR,2007,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,0.5
Ukraine,UKR,2006,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,0.7
Ukraine,UKR,2005,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,1.1
Ukraine,UKR,2004,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,2.8
Ukraine,UKR,2003,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,3.2
Ukraine,UKR,2002,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,6.3
Ukraine,UKR,1999,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,24.8
Ukraine,UKR,1996,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,15.2
Ukraine,UKR,1995,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,14.5
Ukraine,UKR,1993,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,5.1
Ukraine,UKR,1992,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,8.1
Ukraine,UKR,2020,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,0
Ukraine,UKR,2019,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,0
Ukraine,UKR,2018,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,0
Ukraine,UKR,2017,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,0
Ukraine,UKR,2016,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,0
Ukraine,UKR,2015,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,0
Ukraine,UKR,2014,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,0
Ukraine,UKR,2013,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,0
Ukraine,UKR,2012,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,0
Ukraine,UKR,2011,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,0
Ukraine,UKR,2010,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,0
Ukraine,UKR,2009,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,0
Ukraine,UKR,2008,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,0
Ukraine,UKR,2007,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,0.1
Ukraine,UKR,2006,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,0.1
Ukraine,UKR,2005,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,0.2
Ukraine,UKR,2004,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,0.5
Ukraine,UKR,2003,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,0.6
Ukraine,UKR,2002,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,1.3
Ukraine,UKR,1999,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,5.9
